token	complexity
house	0.117647059
house	0.236842105
house	0.288461538
house	0.289473684
sixteenth	0.075
reply	0.075
everything	0.166666667
servants	0.075
servants	0.176470588
servants	0.176470588
servants	0.216666667
servants	0.234375
life	0.078125
life	0.140625
life	0.230769231
parents	0.078125
gods	0.083333333
prostitute	0.083333333
prostitute	0.178571429
prostitute	0.234375
pairs	0.226190476
priest	0.083333333
priest	0.133333333
priest	0.214285714
priest	0.220588235
priest	0.264705882
reward	0.083333333
reward	0.171052632
reward	0.171052632
things	0.089285714
things	0.138888889
things	0.166666667
things	0.235294118
things	0.307692308
sound	0.089285714
sound	0.15625
sound	0.265625
gifts	0.089285714
gifts	0.160714286
gifts	0.191176471
cloud	0.092105263
cloud	0.171875
cloud	0.2125
cloud	0.276315789
flock	0.339285714
flock	0.442307692
promise	0.1
promise	0.21875
dogs	0.1
lambs	0.1
tax	0.1
tax	0.191176471
acts	0.1
acts	0.235294118
mouth	0.1
mouth	0.1375
mouth	0.15625
mouth	0.183333333
mouth	0.279411765
safety	0.178571429
window	0.25
window	0.25
speaking	0.1
thirst	0.1
thirst	0.238636364
governor	0.1
governor	0.296875
governor	0.340909091
creation	0.192307692
light	0.181818182
angel	0.1
angel	0.133333333
angel	0.166666667
angel	0.25
angel	0.307692308
chiefs	0.1
beauty	0.102272727
beauty	0.2
bars	0.102941176
king	0.147058824
king	0.15625
king	0.161764706
king	0.236111111
city	0.107142857
city	0.180555556
city	0.184210526
city	0.210526316
city	0.2375
razor	0.107142857
razor	0.191176471
razor	0.225
earth	0.107142857
earth	0.125
earth	0.166666667
earth	0.1875
gate	0.107142857
gate	0.214285714
gate	0.25
answer	0.109375
ox	0.109375
increase	0.147058824
son	0.109375
son	0.157894737
son	0.180555556
son	0.180555556
son	0.2375
laws	0.111111111
branches	0.111111111
branches	0.205882353
branches	0.235294118
branches	0.392857143
waste	0.111111111
chief	0.111111111
chief	0.216666667
Eve	0.111111111
number	0.113636364
number	0.238095238
storm	0.115384615
peace	0.116666667
peace	0.1875
enemies	0.116666667
enemies	0.153846154
enemies	0.161764706
enemies	0.19047619
enemies	0.223684211
House	0.25
books	0.116666667
books	0.347222222
division	0.116666667
desert	0.116666667
desert	0.175
fathers	0.117647059
fathers	0.166666667
fathers	0.1875
fathers	0.203125
fathers	0.21875
place	0.117647059
place	0.15625
place	0.279411765
displeasure	0.117647059
valley	0.117647059
valley	0.208333333
valley	0.263157895
valley	0.266666667
valley	0.305555556
net	0.118421053
elders	0.118421053
elders	0.178571429
elders	0.234375
thickness	0.125
vineyards	0.125
vineyards	0.25
vineyards	0.305555556
vineyards	0.359375
heart	0.132352941
heart	0.222222222
heart	0.25
consent	0.125
fools	0.125
fools	0.166666667
wisdom	0.125
wisdom	0.142857143
wisdom	0.153846154
wisdom	0.194444444
wisdom	0.368421053
demons	0.125
demons	0.180555556
Jesse	0.125
Jesse	0.236842105
Jesse	0.275
Jesse	0.323529412
water	0.25
water	0.25
word	0.125
word	0.15
word	0.161764706
word	0.220588235
word	0.263888889
book	0.125
book	0.125
book	0.25
part	0.125
part	0.279411765
disciples	0.125
disciples	0.25
disciples	0.277777778
streets	0.125
streets	0.180555556
horses	0.125
horses	0.178571429
heavens	0.305555556
hoofs	0.125
hoofs	0.347826087
looks	0.125
salvation	0.125
salvation	0.166666667
salvation	0.289473684
salvation	0.338235294
salvation	0.347222222
head	0.125
head	0.175
head	0.383333333
labor	0.125
labor	0.21875
labor	0.25
pieces	0.125
pieces	0.203125
pieces	0.220588235
pieces	0.222222222
pieces	0.232142857
moon	0.236842105
King	0.133333333
King	0.175
youth	0.133333333
neighbor	0.276315789
smoke	0.261904762
blood	0.134615385
blood	0.138888889
blood	0.160714286
blood	0.214285714
God	0.1375
God	0.208333333
God	0.235294118
God	0.235294118
God	0.276315789
ambush	0.138888889
hurries	0.138888889
hurries	0.328947368
milk	0.138888889
courage	0.138888889
gladness	0.138888889
gladness	0.21875
gladness	0.220588235
gladness	0.230769231
gladness	0.28125
Behold	0.138888889
Behold	0.183333333
Behold	0.267857143
Behold	0.316666667
legs	0.138888889
clay	0.138888889
clay	0.166666667
Peter	0.138888889
Peter	0.236842105
Peter	0.333333333
ladies	0.3125
lies	0.140625
lies	0.2375
eggs	0.140625
foreigners	0.140625
Almighty	0.142857143
Almighty	0.15625
home	0.142857143
men	0.142857143
men	0.15625
men	0.15625
men	0.21875
men	0.220588235
eagle	0.142857143
eagle	0.160714286
houses	0.142857143
houses	0.152777778
houses	0.208333333
houses	0.222222222
sail	0.142857143
food	0.291666667
ear	0.142857143
ear	0.171875
sinner	0.142857143
thief	0.144736842
thief	0.15
thief	0.203125
thief	0.279411765
Asia	0.147058824
face	0.147058824
face	0.152777778
evening	0.147058824
Jews	0.171875
Jews	0.196428571
Jews	0.196428571
Jews	0.266666667
bow	0.147727273
bow	0.261904762
bow	0.269230769
persons	0.147727273
thousands	0.176470588
shield	0.15
shield	0.15625
shield	0.308823529
end	0.265625
lips	0.15
lips	0.236111111
lips	0.279411765
glory	0.15
glory	0.183333333
glory	0.196428571
glory	0.283333333
glory	0.308823529
thorns	0.15
hope	0.15
rock	0.15
rock	0.205882353
rock	0.291666667
forts	0.15
daughters	0.15
daughters	0.160714286
daughters	0.178571429
daughters	0.203125
daughters	0.3125
stranger	0.15
stranger	0.166666667
stranger	0.265625
harps	0.15
trusts	0.15
bedroom	0.15
voice	0.15
voice	0.2
voice	0.266666667
widow	0.15
widow	0.267857143
sky	0.15
sky	0.15625
sky	0.183333333
sky	0.1875
sky	0.205882353
day	0.15
day	0.171875
day	0.176470588
day	0.191176471
day	0.25
courses	0.30952381
courses	0.40625
Egyptians	0.15
Egyptians	0.153846154
Egyptians	0.205882353
wilderness	0.15
wilderness	0.166666667
wilderness	0.214285714
wilderness	0.232142857
wilderness	0.236842105
kindness	0.15
kindness	0.157894737
kindness	0.166666667
kindness	0.211538462
kindness	0.25
child	0.15
child	0.25
cave	0.15
cave	0.205882353
cave	0.3125
jewel	0.15
army	0.15
army	0.223684211
Whenever	0.152777778
leopard	0.152777778
instructions	0.294117647
Tent	0.153846154
Tent	0.25
Tent	0.316666667
Tent	0.416666667
Tent	0.458333333
angels	0.15625
angels	0.157894737
angels	0.304347826
dances	0.15625
flame	0.15625
brass	0.15625
brass	0.2
brass	0.227272727
brass	0.305555556
brass	0.352272727
kinds	0.157894737
feet	0.157894737
feet	0.178571429
feet	0.184210526
principles	0.291666667
lions	0.160714286
lions	0.291666667
sword	0.160714286
sword	0.222222222
sword	0.236111111
sword	0.25
sword	0.323529412
spirits	0.160714286
spirits	0.25
spirits	0.25
spirits	0.333333333
disaster	0.160714286
disaster	0.357142857
grain	0.160714286
grain	0.191176471
grain	0.211538462
grain	0.21875
grain	0.25
Moses	0.160714286
Moses	0.2
Moses	0.205882353
Moses	0.225
Moses	0.303571429
weapons	0.160714286
showers	0.160714286
garden	0.160714286
eleven	0.160714286
business	0.161764706
root	0.161764706
First	0.191176471
tribes	0.166666667
tribes	0.175
tribes	0.235294118
goats	0.166666667
forest	0.166666667
forest	0.21875
forest	0.220588235
offices	0.166666667
Holy	0.166666667
Holy	0.25
Holy	0.25
reading	0.205882353
Joshua	0.226190476
Joshua	0.266666667
Joshua	0.308823529
Joshua	0.361111111
strength	0.166666667
strength	0.166666667
Christ	0.166666667
Christ	0.194444444
Christ	0.210526316
Christ	0.214285714
Christ	0.266666667
spirit	0.166666667
spirit	0.21875
spirit	0.279411765
spirit	0.279411765
spirit	0.323529412
flour	0.166666667
counsel	0.166666667
counsel	0.276315789
counsel	0.367647059
counsel	0.4
means	0.166666667
means	0.230769231
slaughter	0.296875
slaughter	0.315217391
birds	0.166666667
birds	0.205882353
tree	0.166666667
tree	0.178571429
beans	0.166666667
service	0.166666667
deaths	0.222222222
ones	0.166666667
ones	0.25
ship	0.166666667
ship	0.203125
ship	0.296875
ship	0.305555556
Lion	0.171052632
shepherds	0.171052632
shepherds	0.210526316
shepherds	0.214285714
shepherds	0.283333333
shepherds	0.402777778
Egypt	0.171875
Egypt	0.203125
Egypt	0.25
hill	0.171875
hill	0.175
hill	0.361111111
pipe	0.171875
thanksgiving	0.171875
thanksgiving	0.308823529
thanksgiving	0.342105263
form	0.25
Jonathan	0.171875
Jonathan	0.283333333
Jonathan	0.3
Jonathan	0.333333333
comfort	0.171875
goat	0.171875
goat	0.25
cheek	0.171875
lord	0.173076923
teaching	0.173076923
teaching	0.176470588
teaching	0.183333333
custody	0.175
custody	0.232142857
deeds	0.175
deeds	0.232142857
deeds	0.267857143
chariots	0.175
chariots	0.196428571
chariots	0.225
chariots	0.303571429
chariots	0.411764706
Worship	0.175
speaker	0.175
judges	0.175
judges	0.2
judges	0.214285714
judges	0.220588235
offspring	0.175
Jeremiah	0.175
Jeremiah	0.323529412
Jeremiah	0.375
ant	0.175
Nation	0.176470588
gates	0.176470588
gates	0.222222222
mouths	0.176470588
ceilings	0.176470588
hearts	0.176470588
hearts	0.183333333
hearts	0.191176471
hearts	0.2
hearts	0.2
rulers	0.176470588
rulers	0.214285714
rulers	0.267857143
rulers	0.285714286
rulers	0.321428571
occupation	0.176470588
courts	0.178571429
livestock	0.178571429
worship	0.178571429
worship	0.196428571
worship	0.222222222
worship	0.294117647
desires	0.178571429
desires	0.291666667
standard	0.3
coat	0.178571429
coat	0.308823529
mercy	0.178571429
mercy	0.236111111
mercy	0.293478261
mercy	0.4
springs	0.178571429
springs	0.285714286
creatures	0.178571429
wives	0.178571429
wives	0.184210526
wives	0.2
wives	0.2
judgment	0.178571429
judgment	0.178571429
judgment	0.220588235
judgment	0.277777778
journey	0.178571429
journey	0.3125
Jesus	0.178571429
Jesus	0.1875
Jesus	0.205882353
Jesus	0.308823529
Jesus	0.3125
handfuls	0.178571429
handfuls	0.284090909
households	0.178571429
praise	0.180555556
praise	0.25
praise	0.355263158
flesh	0.180555556
flesh	0.2125
flesh	0.227272727
flesh	0.266666667
turn	0.323529412
arms	0.183333333
camp	0.184210526
law	0.25
law	0.275
mountains	0.184210526
mountains	0.1875
mountains	0.22826087
mountains	0.25
voices	0.184210526
visions	0.1875
tomorrow	0.1875
oven	0.1875
generation	0.1875
generation	0.197368421
generation	0.319444444
laughter	0.1875
threat	0.1875
kindnesses	0.1875
kindnesses	0.277777778
kindnesses	0.294117647
crystal	0.1875
marketplaces	0.19047619
marketplaces	0.191176471
carpenters	0.191176471
palace	0.191176471
defense	0.191176471
thigh	0.191176471
riches	0.191176471
riches	0.236111111
riches	0.25
saints	0.191176471
saints	0.2
saints	0.275
ways	0.25
drops	0.192307692
arrow	0.193181818
Abraham	0.194444444
Abraham	0.277777778
Abraham	0.296875
assault	0.194444444
Lebanon	0.3
Lebanon	0.3
Lebanon	0.375
Hebrews	0.194444444
Hebrews	0.347222222
Hebrews	0.430555556
Paradise	0.194444444
Isaac	0.196428571
Isaac	0.266666667
Isaac	0.289473684
Isaac	0.294117647
Isaac	0.315789474
ignorance	0.196428571
greatness	0.196428571
greatness	0.293478261
seas	0.196428571
seas	0.2
shame	0.196428571
tail	0.196428571
promoters	0.196428571
lamps	0.196428571
righteousness	0.196428571
righteousness	0.266666667
righteousness	0.303571429
poison	0.196428571
Satan	0.196428571
Satan	0.222222222
Satan	0.347826087
inheritance	0.196428571
inheritance	0.233333333
heads	0.235294118
doings	0.197368421
doings	0.289473684
news	0.347222222
wolf	0.197368421
Children	0.197368421
mine	0.197368421
border	0.2
border	0.216666667
border	0.235294118
border	0.267857143
border	0.294117647
stone	0.2
feasts	0.2
feasts	0.25
harshness	0.2
harshness	0.283333333
tongue	0.2
tongue	0.2
tongue	0.235294118
tongue	0.235294118
tongue	0.316666667
unbeliever	0.2
cattle	0.2
poverty	0.220588235
devices	0.2
basins	0.2
basins	0.264705882
basins	0.275
basins	0.375
sanctuary	0.2
sanctuary	0.333333333
sanctuary	0.347222222
majesty	0.2
majesty	0.25
triumph	0.2
destruction	0.25
destruction	0.3125
causes	0.2
causes	0.236842105
offerings	0.2
portion	0.203125
portion	0.25
portion	0.265625
portion	0.339285714
River	0.203125
dens	0.203125
horn	0.203125
horn	0.27173913
axes	0.203125
Friend	0.203125
Release	0.203125
nobles	0.204545455
nobles	0.223684211
shepherd	0.264705882
shepherd	0.277777778
tens	0.205882353
garments	0.205882353
fat	0.234375
fat	0.315217391
sorrow	0.205882353
sorrow	0.232142857
writers	0.205882353
Rome	0.205882353
kingdoms	0.205882353
help	0.208333333
rings	0.208333333
reminder	0.222222222
wonders	0.208333333
wonders	0.25
wonders	0.28125
dwells	0.210526316
pit	0.210526316
pit	0.210526316
pit	0.333333333
singing	0.210526316
doorkeeper	0.210526316
Jerusalem	0.238636364
Jerusalem	0.2875
Sarah	0.214285714
Sarah	0.296875
sight	0.214285714
sight	0.220588235
sight	0.223684211
sight	0.266666667
sight	0.276315789
custom	0.214285714
custom	0.264705882
dreams	0.214285714
firstborn	0.214285714
bonds	0.214285714
anyone	0.272727273
anyone	0.291666667
living	0.214285714
fierceness	0.214285714
fierceness	0.25
fierceness	0.28125
fierceness	0.28125
hawk	0.216666667
fall	0.277777778
fall	0.279411765
liver	0.234375
widows	0.216666667
servant	0.216666667
servant	0.232142857
servant	0.234375
servant	0.267857143
servant	0.283333333
generations	0.216666667
generations	0.236111111
generations	0.25
generations	0.266666667
generations	0.346153846
inhabitant	0.216666667
inhabitant	0.225
inhabitant	0.227272727
inhabitant	0.266666667
inhabitant	0.267857143
flower	0.216666667
habitation	0.216666667
habitation	0.25
habitation	0.352941176
habitation	0.410714286
worshipper	0.216666667
Joseph	0.216666667
Joseph	0.220588235
Joseph	0.234375
Joseph	0.25
Joseph	0.3
instruments	0.216666667
instruments	0.236842105
horns	0.216666667
horns	0.315789474
horsemen	0.216666667
evil	0.217391304
ropes	0.21875
chains	0.21875
faithful	0.21875
faithful	0.304347826
officers	0.21875
officers	0.222222222
officers	0.25
Elijah	0.21875
Elijah	0.232142857
Elijah	0.270833333
Elijah	0.275
Elijah	0.296875
captains	0.21875
captains	0.25
garment	0.21875
Simon	0.21875
Simon	0.266666667
Simon	0.323529412
Simon	0.4
camps	0.21875
Conscience	0.21875
strips	0.21875
dishonor	0.21875
dishonor	0.25
monster	0.220588235
burden	0.220588235
burden	0.233333333
burden	0.25
garlic	0.220588235
peoples	0.220588235
peoples	0.223684211
peoples	0.279411765
paths	0.220588235
idols	0.220588235
idols	0.25
behold	0.234375
behold	0.267857143
behold	0.283333333
behold	0.321428571
pains	0.220588235
witness	0.220588235
coals	0.220588235
resurrection	0.220588235
ram	0.222222222
ram	0.263888889
ram	0.264705882
prophet	0.222222222
prophet	0.235294118
prophet	0.267857143
prophet	0.285714286
prophet	0.359375
merchandise	0.222222222
merchandise	0.277777778
pity	0.222222222
Jacob	0.222222222
Jacob	0.238095238
Jacob	0.264705882
Jacob	0.276315789
Jacob	0.303571429
affairs	0.223684211
mint	0.223684211
Cut	0.223684211
fear	0.223684211
Daniel	0.223684211
Daniel	0.25
Daniel	0.25
Daniel	0.294117647
excellence	0.223684211
exchange	0.265625
fearfulness	0.223684211
fearfulness	0.315217391
fearfulness	0.328125
goings	0.225
goings	0.375
overlay	0.225
overlay	0.25
breaches	0.407894737
breaches	0.5
pleads	0.225
descendants	0.225
footstool	0.472222222
circumcision	0.225
circumcision	0.305555556
circumcision	0.426470588
answers	0.225
Gladness	0.226190476
Gladness	0.318181818
sicknesses	0.226190476
midst	0.318181818
midst	0.367647059
wrath	0.232142857
wrath	0.267857143
wrath	0.277777778
wrath	0.283333333
wrath	0.319444444
Stretch	0.232142857
vessel	0.232142857
adultery	0.232142857
News	0.264705882
highway	0.277777778
virgins	0.234375
temples	0.234375
hour	0.234375
hour	0.263888889
whisper	0.234375
Sit	0.234375
wheels	0.234375
wheels	0.265625
Adam	0.234375
Matthew	0.235294118
cedar	0.235294118
cedar	0.315789474
produce	0.235294118
baldness	0.235294118
harm	0.235294118
magician	0.236111111
vanity	0.236111111
vanity	0.333333333
vanity	0.428571429
fullness	0.236111111
fullness	0.264705882
fullness	0.326086957
fullness	0.411764706
Spirit	0.236111111
Spirit	0.25
Spirit	0.25
Spirit	0.25
Spirit	0.266666667
seashore	0.236111111
fig	0.236111111
perfection	0.236111111
residue	0.236111111
residue	0.25
rams	0.236111111
rams	0.291666667
company	0.263157895
governors	0.236111111
governors	0.283333333
wires	0.236842105
blast	0.236842105
blast	0.25
scorpions	0.236842105
Righteous	0.236842105
accusers	0.2375
accusers	0.25
accusers	0.333333333
farmer	0.239130435
treasures	0.25
treasures	0.294117647
condemnation	0.25
condemnation	0.328125
condemnation	0.430555556
hook	0.25
grasshoppers	0.25
winds	0.25
cluster	0.25
sowing	0.25
Jezebel	0.25
Jezebel	0.475
vengeance	0.25
vengeance	0.25
scribe	0.25
scribe	0.266666667
scribe	0.340909091
scribe	0.388888889
scribe	0.546875
tribute	0.25
tribute	0.323529412
tribute	0.342105263
doers	0.25
foundation	0.25
boundaries	0.265625
ostriches	0.25
Lamb	0.25
Lamb	0.285714286
Lamb	0.339285714
neighbors	0.25
temple	0.25
temple	0.30952381
sacks	0.25
Pharaoh	0.25
Pharaoh	0.279411765
Pharaoh	0.291666667
Pharaoh	0.303571429
Pharaoh	0.366666667
works	0.25
multitudes	0.25
multitudes	0.263157895
multitudes	0.275
multitudes	0.333333333
multitudes	0.388888889
Babylon	0.25
Babylon	0.333333333
Babylon	0.375
snares	0.25
snares	0.289473684
snares	0.416666667
snares	0.5
comforters	0.25
comforters	0.333333333
Woman	0.25
workers	0.25
Shem	0.25
Shem	0.261363636
Shem	0.388888889
Shem	0.453125
Shem	0.483333333
webs	0.25
southward	0.25
southward	0.3
infant	0.25
towel	0.25
hundreds	0.25
restriction	0.294117647
Wolves	0.25
Mount	0.25
Mount	0.263157895
Mount	0.265625
Mount	0.296875
Mount	0.302631579
oxen	0.25
oxen	0.472222222
heirs	0.25
apostles	0.359375
apostles	0.375
launderer	0.25
launderer	0.3625
knee	0.25
knee	0.294117647
reign	0.25
reign	0.416666667
keepers	0.261904762
hills	0.261904762
Beth	0.263157895
Beth	0.333333333
Beth	0.361111111
lamp	0.263157895
scroll	0.263157895
dream	0.263888889
captive	0.264705882
doors	0.264705882
Ethiopians	0.264705882
Ethiopians	0.34375
incense	0.264705882
incense	0.267857143
incense	0.276315789
incense	0.375
weariness	0.264705882
Solomon	0.264705882
Solomon	0.275
Solomon	0.3
Solomon	0.323529412
Solomon	0.333333333
vineyard	0.333333333
Husbands	0.265625
cutters	0.267857143
Abel	0.269230769
Abel	0.323529412
inscription	0.275
vessels	0.275
vessels	0.328947368
vessels	0.375
expanse	0.275
expanse	0.277777778
astonishment	0.275
astonishment	0.277777778
astonishment	0.453125
tumbleweed	0.275
morning	0.275
kinsman	0.275
kinsman	0.388888889
travels	0.276315789
Scripture	0.276315789
Scripture	0.375
restraint	0.276315789
guide	0.277777778
adversaries	0.277777778
adversaries	0.3
adversaries	0.34375
adversaries	0.375
wars	0.277777778
messenger	0.277777778
lot	0.279411765
soul	0.279411765
soul	0.35
district	0.279411765
Ishmael	0.279411765
Ishmael	0.345238095
Ishmael	0.368421053
Ishmael	0.388888889
Ishmael	0.410714286
spoil	0.279411765
spoil	0.285714286
spoil	0.305555556
spoil	0.361111111
Noah	0.279411765
wombs	0.28125
ledges	0.28125
reapers	0.28125
Chief	0.28125
stoops	0.28125
headbands	0.28125
saint	0.28125
anything	0.28125
cleanness	0.283333333
disputes	0.283333333
husband	0.283333333
Jordan	0.296875
Jordan	0.375
Jordan	0.45
abomination	0.289473684
statutes	0.291666667
statutes	0.357142857
statutes	0.411764706
lament	0.291666667
lament	0.328125
Sailing	0.291666667
anguish	0.291666667
supper	0.291666667
branch	0.291666667
collector	0.291666667
Roman	0.291666667
Micah	0.291666667
Micah	0.326086957
Micah	0.602941176
sickle	0.291666667
picks	0.294117647
separation	0.294117647
mules	0.294117647
Media	0.294117647
keeper	0.294117647
fatness	0.294117647
Others	0.294117647
spear	0.296875
Armies	0.296875
Armies	0.30952381
Armies	0.321428571
Armies	0.328125
Armies	0.333333333
threshold	0.428571429
foundations	0.3
foundations	0.302631579
Isaiah	0.3
Isaiah	0.319444444
Isaiah	0.328125
prophesies	0.3
pillars	0.3
famines	0.3
famines	0.303571429
ewe	0.3
ewe	0.482142857
handmaid	0.3
handmaid	0.3
handmaid	0.321428571
handmaid	0.333333333
handmaid	0.35
lender	0.3
sanctuaries	0.3
jackals	0.3
Sabbath	0.3
Sabbath	0.333333333
Sabbath	0.333333333
Sabbath	0.367647059
Sabbath	0.421875
suburbs	0.3
mourning	0.3
mourning	0.361111111
Passover	0.3
Passover	0.323529412
Passover	0.383333333
integrity	0.3
testimonies	0.3125
testimonies	0.367647059
pursuers	0.3
pursuers	0.338235294
partiality	0.3
partiality	0.352941176
partiality	0.4
partiality	0.5
lightning	0.3
Malta	0.358695652
treason	0.302631579
Judah	0.302631579
Judah	0.367647059
Judah	0.375
Judah	0.392857143
Judah	0.425
Arabians	0.302631579
stores	0.302631579
lusts	0.303571429
lusts	0.40625
slowness	0.303571429
fightings	0.303571429
acacia	0.303571429
acacia	0.382352941
acacia	0.390625
acacia	0.431818182
rebels	0.308823529
Lament	0.308823529
mercies	0.308823529
mercies	0.315789474
mercies	0.388888889
mercies	0.397058824
mercies	0.4
overseers	0.30952381
overseers	0.35
petitions	0.30952381
figs	0.3125
Esther	0.3125
Esther	0.430555556
foreigner	0.3125
parables	0.3125
parables	0.315789474
parables	0.319444444
parables	0.423076923
parables	0.466666667
Levi	0.339285714
Levi	0.34375
Levi	0.375
Levi	0.472222222
wind	0.3125
adversity	0.3125
adversity	0.375
honey	0.3125
engravings	0.3125
fashion	0.315789474
forgers	0.315789474
Macedonia	0.342105263
Macedonia	0.426470588
Macedonia	0.455882353
Macedonia	0.46875
carcass	0.323529412
Eli	0.316666667
Eli	0.321428571
Eli	0.357142857
rebuke	0.316666667
rebuke	0.323529412
rebuke	0.416666667
rebuke	0.453125
Deliverer	0.316666667
hypocrisy	0.316666667
uppermost	0.318181818
Persians	0.319444444
Persians	0.333333333
Jehoshaphat	0.319444444
Jehoshaphat	0.472222222
Jehoshaphat	0.55
Jehoshaphat	0.589285714
Jehoshaphat	0.609375
Canaan	0.319444444
Elisha	0.325
Elisha	0.416666667
Elisha	0.416666667
Elisha	0.421052632
synagogues	0.321428571
synagogues	0.323529412
synagogues	0.383333333
synagogues	0.5
synagogues	0.514705882
Goliath	0.323529412
aroma	0.323529412
humility	0.323529412
conscience	0.323529412
conscience	0.352272727
scales	0.323529412
cords	0.325
pinnacle	0.325
rottenness	0.325
rottenness	0.347222222
statute	0.325
evildoer	0.325
towns	0.326086957
Crucify	0.326086957
ravages	0.333333333
acquaintances	0.328125
turtledoves	0.328125
tops	0.328125
Nehemiah	0.328125
Nehemiah	0.375
Nehemiah	0.411764706
boil	0.328947368
tormentors	0.328947368
Baal	0.329545455
Baal	0.456521739
Baal	0.485294118
Baal	0.588235294
Baal	0.6
sackcloth	0.329545455
sackcloth	0.411764706
sackcloth	0.5
sackcloth	0.5
sackcloth	0.510869565
wardrobe	0.333333333
Zion	0.333333333
Zion	0.359375
Zion	0.375
Zion	0.433333333
Zion	0.486842105
thirsts	0.333333333
gutters	0.333333333
builders	0.333333333
immorality	0.333333333
veil	0.3375
lyre	0.3375
lyre	0.425
lyre	0.434210526
lyre	0.470588235
Yahweh	0.3375
Yahweh	0.426470588
Yahweh	0.4375
Yahweh	0.4375
Yahweh	0.458333333
streams	0.3375
Cush	0.338235294
Cush	0.583333333
billows	0.338235294
Mica	0.338235294
Mica	0.34375
Woe	0.338235294
treads	0.35
sulfur	0.35
merchants	0.35
Jubilee	0.35
Jubilee	0.4
stubbornness	0.35
intercession	0.352272727
intercession	0.388888889
backsliding	0.352941176
backsliding	0.390625
backsliding	0.402777778
backsliding	0.428571429
morsels	0.352941176
scatters	0.352941176
sockets	0.352941176
ministers	0.352941176
myrrh	0.352941176
myrrh	0.447368421
magistrates	0.359375
magistrates	0.464285714
magistrates	0.5
innards	0.361111111
gentleness	0.361111111
madman	0.366666667
murmurings	0.366666667
murmurings	0.425
murmurings	0.485294118
murmurings	0.5
Nazarene	0.366666667
Nazarene	0.470588235
Nazarene	0.53125
Nazarene	0.533333333
priesthood	0.367647059
misdeeds	0.368421053
thistles	0.368421053
brightness	0.368421053
evangelist	0.368421053
scribes	0.369047619
scribes	0.434210526
scribes	0.45
scribes	0.472222222
